YEAR,STATE,AVG_ADM_RATE,AVG_ADM_RATE_ALL
1996,AL,,
1996,IL,,
1996,AK,,
1996,WA,,
1996,AZ,,
1996,NM,,
1996,AR,,
1996,TN,,
1996,CA,,
1996,LA,,
1996,CO,,
1996,MN,,
1996,NY,,
1996,CT,,
1996,DE,,
1996,DC,,
1996,VA,,
1996,FL,,
1996,GA,,
1996,MI,,
1996,HI,,
1996,ID,,
1996,IN,,
1996,IA,,
1996,KS,,
1996,MO,,
1996,KY,,
1996,ME,,
1996,MD,,
1996,MA,,
1996,MS,,
1996,MT,,
1996,NE,,
1996,NV,,
1996,NH,,
1996,NJ,,
1996,NC,,
1996,ND,,
1996,OH,,
1996,WV,,
1996,OK,,
1996,OR,,
1996,PA,,
1996,RI,,
1996,SC,,
1996,SD,,
1996,TX,,
1996,UT,,
1996,VT,,
1996,WI,,
1996,WY,,
1996,AS,,
1996,GU,,
1996,MP,,
1996,PR,,
1996,FM,,
1996,PW,,
1996,VI,,
1996,MH,,
1997,AL,,
1997,IL,,
1997,AK,,
1997,WA,,
1997,AZ,,
1997,NM,,
1997,AR,,
1997,TN,,
1997,CA,,
1997,CO,,
1997,MN,,
1997,NY,,
1997,CT,,
1997,DE,,
1997,DC,,
1997,VA,,
1997,FL,,
1997,GA,,
1997,MI,,
1997,HI,,
1997,ID,,
1997,IN,,
1997,IA,,
1997,KS,,
1997,MO,,
1997,KY,,
1997,LA,,
1997,ME,,
1997,MD,,
1997,MA,,
1997,MS,,
1997,MT,,
1997,NE,,
1997,NV,,
1997,NH,,
1997,NJ,,
1997,NC,,
1997,ND,,
1997,OH,,
1997,WV,,
1997,OK,,
1997,OR,,
1997,PA,,
1997,RI,,
1997,SC,,
1997,SD,,
1997,TX,,
1997,UT,,
1997,VT,,
1997,WI,,
1997,WY,,
1997,AS,,
1997,GU,,
1997,MP,,
1997,PR,,
1997,FM,,
1997,PW,,
1997,VI,,
1997,MH,,
1998,AL,,
1998,IL,,
1998,AK,,
1998,WA,,
1998,AZ,,
1998,NM,,
1998,AR,,
1998,TN,,
1998,CA,,
1998,CO,,
1998,MN,,
1998,NY,,
1998,CT,,
1998,DE,,
1998,DC,,
1998,VA,,
1998,FL,,
1998,GA,,
1998,MI,,
1998,HI,,
1998,ID,,
1998,IN,,
1998,IA,,
1998,KS,,
1998,MO,,
1998,KY,,
1998,LA,,
1998,ME,,
1998,MD,,
1998,MA,,
1998,MS,,
1998,MT,,
1998,NE,,
1998,NV,,
1998,NH,,
1998,NJ,,
1998,NC,,
1998,ND,,
1998,OH,,
1998,WV,,
1998,OK,,
1998,OR,,
1998,PA,,
1998,RI,,
1998,SC,,
1998,SD,,
1998,TX,,
1998,UT,,
1998,VT,,
1998,WI,,
1998,WY,,
1998,AS,,
1998,GU,,
1998,MP,,
1998,PR,,
1998,FM,,
1998,PW,,
1998,VI,,
1998,MH,,
1999,AL,,
1999,IL,,
1999,AK,,
1999,WA,,
1999,AZ,,
1999,NM,,
1999,AR,,
1999,TN,,
1999,CA,,
1999,MN,,
1999,NY,,
1999,CO,,
1999,CT,,
1999,DE,,
1999,DC,,
1999,VA,,
1999,FL,,
1999,GA,,
1999,MI,,
1999,HI,,
1999,ID,,
1999,IN,,
1999,IA,,
1999,KS,,
1999,MO,,
1999,KY,,
1999,LA,,
1999,ME,,
1999,MD,,
1999,MA,,
1999,MS,,
1999,MT,,
1999,NE,,
1999,NV,,
1999,NH,,
1999,NJ,,
1999,NC,,
1999,ND,,
1999,OH,,
1999,WV,,
1999,OK,,
1999,OR,,
1999,PA,,
1999,RI,,
1999,SC,,
1999,SD,,
1999,TX,,
1999,UT,,
1999,VT,,
1999,WI,,
1999,WY,,
1999,AS,,
1999,GU,,
1999,MP,,
1999,PR,,
1999,FM,,
1999,PW,,
1999,VI,,
1999,MH,,
2000,AL,,
2000,IL,,
2000,AK,,
2000,WA,,
2000,AZ,,
2000,NM,,
2000,AR,,
2000,TN,,
2000,CA,,
2000,MN,,
2000,NY,,
2000,CO,,
2000,CT,,
2000,DE,,
2000,DC,,
2000,VA,,
2000,FL,,
2000,GA,,
2000,MI,,
2000,HI,,
2000,ID,,
2000,IN,,
2000,IA,,
2000,KS,,
2000,MO,,
2000,KY,,
2000,LA,,
2000,ME,,
2000,MD,,
2000,MA,,
2000,MS,,
2000,MT,,
2000,NE,,
2000,NV,,
2000,NH,,
2000,NJ,,
2000,NC,,
2000,ND,,
2000,OH,,
2000,WV,,
2000,OK,,
2000,OR,,
2000,PA,,
2000,RI,,
2000,SC,,
2000,SD,,
2000,TX,,
2000,UT,,
2000,VT,,
2000,WI,,
2000,WY,,
2000,AS,,
2000,GU,,
2000,MP,,
2000,PR,,
2000,FM,,
2000,PW,,
2000,VI,,
2000,MH,,
2001,AL,0.794096154,0.790906452
2001,IL,0.763108081,0.748600943
2001,AK,0.85206,0.869266667
2001,WA,0.820315152,0.8182675
2001,AZ,0.786837931,0.798141935
2001,NM,0.712341667,0.726816667
2001,AR,0.746689286,0.757678125
2001,TN,0.760913043,0.762360563
2001,CA,0.753650538,0.758803365
2001,MN,0.76637,0.771422222
2001,CO,0.792313514,0.800130769
2001,CT,0.641588235,0.649389189
2001,NY,0.67491934,0.676214286
2001,DE,0.667457143,0.649157143
2001,DC,0.6208,0.6004125
2001,VA,0.703722222,0.696589855
2001,FL,0.798534343,0.791109346
2001,GA,0.68621194,0.696636986
2001,MI,0.722395385,0.726712121
2001,HI,0.59615,0.611133333
2001,ID,0.80469,0.80446
2001,IN,0.80004058,0.787519718
2001,IA,0.75777907,0.771874468
2001,KS,0.817439286,0.822516667
2001,MO,0.722113253,0.705847312
2001,KY,0.749178125,0.748447059
2001,LA,0.84909375,0.836645714
2001,ME,0.678395455,0.660604348
2001,MD,0.655903333,0.647925
2001,MA,0.648581395,0.651686364
2001,MS,0.606288889,0.62993
2001,MT,0.828544444,0.855736364
2001,NE,0.757108,0.765664
2001,NV,0.89278,0.89028
2001,NH,0.655694118,0.699410526
2001,NJ,0.659641667,0.680403846
2001,NC,0.736177419,0.736533333
2001,ND,0.680671429,0.680671429
2001,OH,0.744964948,0.757227869
2001,WV,0.793621875,0.787224242
2001,OK,0.772165385,0.774985185
2001,OR,0.795652941,0.794051429
2001,PA,0.73692029,0.714722523
2001,RI,0.59893,0.624809091
2001,SC,0.722752381,0.721838095
2001,SD,0.679271429,0.678014286
2001,TX,0.798906034,0.793490164
2001,UT,0.858311111,0.84499
2001,VT,0.750585,0.7512
2001,WI,0.817987755,0.811731373
2001,WY,0.98455,0.98455
2001,AS,,
2001,GU,,
2001,MP,,
2001,PR,0.764358182,0.760653846
2001,FM,0.89815,0.8743
2001,PW,,
2001,VI,0.979933333,0.977466667
2001,MH,1,1
2002,AL,0.757651429,0.732
2002,IL,0.750547826,0.740473554
2002,AK,0.8717,0.87098
2002,WA,0.778887755,0.772483929
2002,AZ,0.781458065,0.762284848
2002,NM,0.660241667,0.7086
2002,AR,0.776760714,0.775170968
2002,TN,0.753731429,0.751815278
2002,CA,0.703294239,0.707848047
2002,MN,0.783624,0.78470566
2002,CO,0.789179487,0.7706
2002,CT,0.644856818,0.6447
2002,NY,0.688559701,0.693121223
2002,DE,0.645214286,0.6624625
2002,DC,0.601422222,0.5978
2002,VA,0.677555714,0.685088
2002,FL,0.753763934,0.740526923
2002,GA,0.688819481,0.697888462
2002,MI,0.700732468,0.693825641
2002,HI,0.6951125,0.6693375
2002,ID,0.84301,0.84223
2002,IN,0.763393151,0.748883784
2002,IA,0.77736875,0.782055102
2002,KS,0.73652963,0.741213793
2002,MO,0.682525287,0.676952577
2002,KY,0.723877143,0.719202632
2002,LA,0.781264706,0.766319444
2002,ME,0.659745833,0.637058333
2002,MD,0.663052632,0.661884615
2002,MA,0.624937113,0.625730612
2002,MS,0.600942105,0.626533333
2002,MT,0.806636364,0.831676923
2002,NE,0.74,0.723912
2002,NV,0.8653,0.8366
2002,NH,0.7148875,0.727634615
2002,NJ,0.714817188,0.691966667
2002,NC,0.714,0.713014286
2002,ND,0.7436,0.7436
2002,OH,0.7271875,0.739221014
2002,WV,0.795283871,0.775260606
2002,OK,0.846921875,0.838891176
2002,OR,0.766865714,0.763235135
2002,PA,0.70780708,0.690372917
2002,RI,0.566654545,0.58685
2002,SC,0.704902273,0.703136364
2002,SD,0.798182353,0.794123529
2002,TX,0.754452381,0.758905263
2002,UT,0.886188889,0.856677778
2002,VT,0.683943478,0.697
2002,WI,0.770366,0.761825
2002,WY,0.98275,0.98275
2002,AS,,
2002,GU,0.6818,0.6818
2002,MP,,
2002,PR,0.717587692,0.700340278
2002,FM,0.848375,0.4959
2002,PW,,
2002,VI,0.6615,0.6745
2002,MH,,
2003,AL,0.730670588,0.702375676
2003,IL,0.741982456,0.738334746
2003,AK,0.80584,0.75982
2003,WA,0.781277551,0.781505263
2003,AZ,0.769627273,0.752845714
2003,NM,0.655776923,0.723179167
2003,AR,0.7487625,0.741185185
2003,TN,0.738540278,0.73697027
2003,CA,0.764019592,0.760734351
2003,MN,0.775465306,0.780671698
2003,CO,0.788325641,0.76757381
2003,CT,0.638651163,0.62417907
2003,NY,0.673226119,0.670281522
2003,DE,0.64975,0.6584625
2003,DC,0.595288889,0.591111111
2003,VA,0.649173239,0.662226316
2003,FL,0.747973016,0.74497594
2003,GA,0.659359494,0.660624691
2003,MI,0.702270513,0.701462821
2003,HI,0.716971429,0.698385714
2003,ID,0.832454545,0.848233333
2003,IN,0.792604225,0.788158108
2003,IA,0.766258,0.758815686
2003,KS,0.808,0.79411
2003,MO,0.7185,0.719601053
2003,KY,0.730802941,0.719362162
2003,LA,0.7761,0.775518919
2003,ME,0.639041667,0.606533333
2003,MD,0.658423077,0.6628025
2003,MA,0.608970408,0.606590909
2003,MS,0.625968421,0.645019048
2003,MT,0.838222222,0.861954545
2003,NE,0.717380769,0.721565385
2003,NV,0.838611111,0.83093
2003,NH,0.71955,0.73375
2003,NJ,0.71654375,0.714327273
2003,NC,0.730986957,0.731531429
2003,ND,0.8262,0.8262
2003,OH,0.709305405,0.723314493
2003,WV,0.778546667,0.755946875
2003,OK,0.80455625,0.799193939
2003,OR,0.793244444,0.78934359
2003,PA,0.695882609,0.686910373
2003,RI,0.658041667,0.666892308
2003,SC,0.721459091,0.722454545
2003,SD,0.72763125,0.7281875
2003,TX,0.756662044,0.757272857
2003,UT,0.8468,0.844831579
2003,VT,0.678034783,0.683916667
2003,WI,0.754084,0.743986538
2003,WY,0.97545,0.97545
2003,AS,,
2003,GU,0.8182,0.8182
2003,MP,,
2003,PR,0.718941791,0.701770667
2003,FM,1,1
2003,PW,,
2003,VI,0.6408,0.6408
2003,MH,0.8415,0.8415
2004,AL,0.722555882,0.708928205
2004,IL,0.706749091,0.706362832
2004,AK,0.82725,0.82244
2004,WA,0.755470833,0.76512931
2004,AZ,0.758203226,0.765921875
2004,NM,0.686133333,0.721591304
2004,AR,0.708669565,0.7112
2004,TN,0.731877941,0.722587324
2004,CA,0.712761778,0.7152028
2004,MN,0.782575,0.783176786
2004,CO,0.771784615,0.732846667
2004,CT,0.577385,0.579463415
2004,NY,0.685539394,0.679435055
2004,DE,0.6337375,0.6531125
2004,DC,0.622633333,0.616355556
2004,VA,0.656913235,0.666947297
2004,FL,0.726742105,0.744326866
2004,GA,0.656153012,0.645031395
2004,MI,0.655750649,0.655605128
2004,HI,0.663416667,0.631942857
2004,ID,0.86257,0.866854545
2004,IN,0.735367143,0.721110959
2004,IA,0.743815217,0.74533913
2004,KS,0.746133333,0.748823333
2004,MO,0.673566667,0.673703529
2004,KY,0.687875,0.707280556
2004,LA,0.797287879,0.780847222
2004,ME,0.666530435,0.645791304
2004,MD,0.644075758,0.651342857
2004,MA,0.619164894,0.621085263
2004,MS,0.656263158,0.670252381
2004,MT,0.78014,0.81285
2004,NE,0.740816,0.74142
2004,NV,0.840042857,0.8043125
2004,NH,0.702365217,0.70908
2004,NJ,0.701972881,0.70298871
2004,NC,0.702638571,0.703316667
2004,ND,0.859355556,0.859355556
2004,OH,0.697048673,0.724475177
2004,WV,0.767664516,0.760313889
2004,OK,0.764190625,0.759851429
2004,OR,0.792516667,0.796833333
2004,PA,0.674029778,0.667067364
2004,RI,0.709769231,0.714264286
2004,SC,0.734886364,0.741913333
2004,SD,0.690464706,0.67415
2004,TX,0.732131061,0.730326812
2004,UT,0.81672,0.800222222
2004,VT,0.674114286,0.687941667
2004,WI,0.751423529,0.740475472
2004,WY,0.9742,0.879666667
2004,AS,,
2004,GU,0.7647,0.7647
