YEAR,STATE,AVG_MAL_YR4,AVG_FEM_YR4
1996,AL,,
1996,IL,,
1996,AK,,
1996,WA,,
1996,AZ,,
1996,NM,,
1996,AR,,
1996,TN,,
1996,CA,,
1996,LA,,
1996,CO,,
1996,MN,,
1996,NY,,
1996,CT,,
1996,DE,,
1996,DC,,
1996,VA,,
1996,FL,,
1996,GA,,
1996,MI,,
1996,HI,,
1996,ID,,
1996,IN,,
1996,IA,,
1996,KS,,
1996,MO,,
1996,KY,,
1996,ME,,
1996,MD,,
1996,MA,,
1996,MS,,
1996,MT,,
1996,NE,,
1996,NV,,
1996,NH,,
1996,NJ,,
1996,NC,,
1996,ND,,
1996,OH,,
1996,WV,,
1996,OK,,
1996,OR,,
1996,PA,,
1996,RI,,
1996,SC,,
1996,SD,,
1996,TX,,
1996,UT,,
1996,VT,,
1996,WI,,
1996,WY,,
1996,AS,,
1996,GU,,
1996,MP,,
1996,PR,,
1996,FM,,
1996,PW,,
1996,VI,,
1996,MH,,
1997,AL,,
1997,IL,,
1997,AK,,
1997,WA,,
1997,AZ,,
1997,NM,,
1997,AR,,
1997,TN,,
1997,CA,,
1997,CO,,
1997,MN,,
1997,NY,,
1997,CT,,
1997,DE,,
1997,DC,,
1997,VA,,
1997,FL,,
1997,GA,,
1997,MI,,
1997,HI,,
1997,ID,,
1997,IN,,
1997,IA,,
1997,KS,,
1997,MO,,
1997,KY,,
1997,LA,,
1997,ME,,
1997,MD,,
1997,MA,,
1997,MS,,
1997,MT,,
1997,NE,,
1997,NV,,
1997,NH,,
1997,NJ,,
1997,NC,,
1997,ND,,
1997,OH,,
1997,WV,,
1997,OK,,
1997,OR,,
1997,PA,,
1997,RI,,
1997,SC,,
1997,SD,,
1997,TX,,
1997,UT,,
1997,VT,,
1997,WI,,
1997,WY,,
1997,AS,,
1997,GU,,
1997,MP,,
1997,PR,,
1997,FM,,
1997,PW,,
1997,VI,,
1997,MH,,
1998,AL,,
1998,IL,,
1998,AK,,
1998,WA,,
1998,AZ,,
1998,NM,,
1998,AR,,
1998,TN,,
1998,CA,,
1998,CO,,
1998,MN,,
1998,NY,,
1998,CT,,
1998,DE,,
1998,DC,,
1998,VA,,
1998,FL,,
1998,GA,,
1998,MI,,
1998,HI,,
1998,ID,,
1998,IN,,
1998,IA,,
1998,KS,,
1998,MO,,
1998,KY,,
1998,LA,,
1998,ME,,
1998,MD,,
1998,MA,,
1998,MS,,
1998,MT,,
1998,NE,,
1998,NV,,
1998,NH,,
1998,NJ,,
1998,NC,,
1998,ND,,
1998,OH,,
1998,WV,,
1998,OK,,
1998,OR,,
1998,PA,,
1998,RI,,
1998,SC,,
1998,SD,,
1998,TX,,
1998,UT,,
1998,VT,,
1998,WI,,
1998,WY,,
1998,AS,,
1998,GU,,
1998,MP,,
1998,PR,,
1998,FM,,
1998,PW,,
1998,VI,,
1998,MH,,
1999,AL,,
1999,IL,,
1999,AK,,
1999,WA,,
1999,AZ,,
1999,NM,,
1999,AR,,
1999,TN,,
1999,CA,,
1999,MN,,
1999,NY,,
1999,CO,,
1999,CT,,
1999,DE,,
1999,DC,,
1999,VA,,
1999,FL,,
1999,GA,,
1999,MI,,
1999,HI,,
1999,ID,,
1999,IN,,
1999,IA,,
1999,KS,,
1999,MO,,
1999,KY,,
1999,LA,,
1999,ME,,
1999,MD,,
1999,MA,,
1999,MS,,
1999,MT,,
1999,NE,,
1999,NV,,
1999,NH,,
1999,NJ,,
1999,NC,,
1999,ND,,
1999,OH,,
1999,WV,,
1999,OK,,
1999,OR,,
1999,PA,,
1999,RI,,
1999,SC,,
1999,SD,,
1999,TX,,
1999,UT,,
1999,VT,,
1999,WI,,
1999,WY,,
1999,AS,,
1999,GU,,
1999,MP,,
1999,PR,,
1999,FM,,
1999,PW,,
1999,VI,,
1999,MH,,
2000,AL,246.1466667,369.8933333
2000,AK,187.1428571,258.8571429
2000,WA,406.89,515.79
2000,AZ,619.4047619,671.8809524
2000,NM,675.4358974,847.5384615
2000,AR,170.559322,240.8135593
2000,TN,185.4653465,243.5247525
2000,CA,323.2324094,414.1556503
2000,NY,295.6086957,386.6637681
2000,CO,422.8205128,473.6794872
2000,CT,235.9104478,260.1343284
2000,DE,203.6923077,285.9230769
2000,DC,322.8666667,456.8
2000,VA,315.6788991,418.1743119
2000,FL,429.9348837,519.1860465
2000,GA,210.9703704,328.9925926
2000,MI,513.4296296,692.8666667
2000,HI,745.9090909,786.2727273
2000,ID,312.8333333,348.6666667
2000,IL,262.2173913,306.4076087
2000,IN,323.17,397.27
2000,IA,233.4626866,283.8358209
2000,KS,186.7761194,219.8507463
2000,MO,221.688,246.976
2000,KY,169.0588235,251.8705882
2000,LA,262.137931,355.5977011
2000,ME,130.0857143,162.1428571
2000,MD,379.7945205,465.630137
2000,MA,212.015748,248.0866142
2000,MN,276.7830189,333.490566
2000,MS,269.4878049,411.2439024
2000,MT,199.9583333,231.875
2000,NE,198.25,231.775
2000,NV,531.35,607
2000,NH,220.1666667,273.3666667
2000,NJ,278.2,338.6521739
2000,NC,146.162963,237.1703704
2000,ND,229.1052632,232.4736842
2000,OH,448.2165899,522.6682028
2000,OK,310.989011,376.2197802
2000,OR,370.0833333,451.95
2000,PA,647.3206349,594.5396825
2000,RI,391.8823529,419.9411765
2000,SC,225.2419355,312.5967742
2000,SD,197.32,227.44
2000,TX,276.3740741,388.9148148
2000,UT,581.1818182,627.1515152
2000,VT,143.8695652,172.3478261
2000,WV,156.0444444,190.0888889
2000,WI,275.5757576,333.7272727
2000,WY,287.3,231.3
2000,AS,89,112
2000,GU,94,140
2000,MP,57,84
2000,PR,532.3162393,738.6581197
2000,FM,237,229
2000,PW,33,42
2000,VI,68,144
2000,MH,49,49
2001,AL,268.1153846,403.5512821
2001,IL,287.0615385,339.0666667
2001,AK,208,292.1428571
2001,WA,474.7692308,542.0576923
2001,AZ,683.8791209,789.8351648
2001,NM,715.4651163,916.0232558
2001,AR,195.880597,290.2985075
2001,TN,187.5338983,247.6016949
2001,CA,392.2877551,477.0510204
2001,CO,482.5465116,559.2674419
2001,CT,252.7058824,278.75
2001,NY,315.1531532,390.1501502
2001,DE,219.3846154,313.3076923
2001,DC,308.8125,440.75
2001,VA,336.266129,452.3467742
2001,FL,471.0619835,577.1115702
2001,MI,597.7826087,751.9565217
2001,GA,235.4428571,351.2142857
2001,HI,961.4545455,1107.818182
2001,ID,294.2380952,328.3333333
2001,IN,346.3269231,409.8461538
2001,IA,260.8142857,290.9285714
2001,KS,212.4864865,246.3378378
2001,MO,302.4852941,342.8088235
2001,KY,190.5,280.8488372
2001,LA,264.5135135,365.4954955
2001,ME,124.3846154,162.1025641
2001,MD,460.1549296,561.6760563
2001,MA,209.0141844,251.177305
2001,MN,304.0540541,358.2522523
2001,MS,267.4081633,403.7346939
2001,MT,219.3333333,242.875
2001,NE,222.9473684,257.8947368
2001,NV,715.9473684,857.0526316
2001,NH,227.0333333,291.5333333
2001,NJ,307.6302521,374.9915966
2001,NC,170.0441176,263.125
2001,ND,223.4,235.5
2001,OH,527.5178571,589.3660714
2001,WV,150.5636364,177.9818182
2001,OK,368.5306122,443.1836735
2001,OR,450,530.5081967
2001,PA,717.858006,713.3413897
2001,RI,351.2380952,386.0952381
2001,SC,249.2258065,348.3709677
2001,SD,242.52,276.84
2001,TX,364.5791246,470.6666667
2001,UT,631.2702703,711.3783784
2001,VT,150,177.7777778
2001,WI,285.4366197,334.2253521
2001,WY,292.7,255.7
2001,AS,144,189
2001,GU,135.5,214
2001,MP,107,110
2001,PR,628.1209677,846.3870968
2001,FM,252,392
2001,PW,59,110
2001,VI,126.6666667,213.6666667
2001,MH,150,142
2002,AL,276.3037975,405.9873418
2002,IL,338.0913706,398.0659898
2002,AK,209.25,265.5
2002,WA,553.018018,606.7927928
2002,AZ,823.4137931,953.7011494
2002,NM,850.0487805,1101.365854
2002,AR,209.3088235,300.4117647
2002,TN,287.3760684,356.8632479
2002,CA,421.7838384,506.7656566
2002,MN,315.8715596,358.3486239
2002,CO,595.3411765,669.2588235
2002,CT,261.8358209,295.7910448
2002,NY,327.0725076,382.2900302
2002,DE,227.7692308,316.4615385
2002,DC,341.6,469.7333333
2002,VA,374.2519084,462.4732824
2002,FL,512.9079498,633.9623431
2002,MI,604.9520548,773.8424658
2002,GA,349.6478873,462.1478873
2002,HI,683.0952381,833.7619048
2002,ID,717.5652174,819
2002,IN,341.8623853,425.0458716
2002,IA,268.0277778,299.8194444
2002,KS,202.7820513,242.4358974
2002,MO,445.3897059,505.4191176
2002,KY,212,302.9878049
2002,LA,268.0423729,366.1186441
2002,ME,132.5789474,167.4736842
2002,MD,428.5512821,544.7820513
2002,MA,268.7762238,327.013986
2002,MS,267.26,392.42
2002,MT,226.2173913,250.6086957
2002,NE,219.7,254.125
2002,NV,850.1666667,1015
2002,NH,215.4666667,271.8
2002,NJ,353.6585366,403.9918699
2002,NC,195.4142857,301.5714286
2002,ND,209.4347826,210.6521739
2002,OH,525.4024896,579.3278008
2002,OK,379.3084112,469.3831776
2002,OR,473.0151515,561.4848485
2002,PA,719.9143731,723.7920489
2002,RI,414.8823529,471.0588235
2002,SC,247.5384615,360.6615385
2002,SD,232.5555556,263.0740741
2002,TX,397.6742671,506.7394137
2002,UT,640.125,714.025
2002,VT,132.4444444,168.1111111
2002,WV,127.9074074,156.7962963
2002,WI,425.0138889,491.3055556
2002,WY,230.1,215.3
2002,AS,134,213
2002,GU,154,280
2002,MP,129,133
2002,PR,725.3934426,980.4590164
2002,FM,550,426
2002,PW,211,162
2002,VI,91,278
2002,MH,300,113
2003,AL,277.25,458.9210526
2003,AK,174,299.25
2003,WA,660.6944444,814.1388889
2003,AZ,956.6823529,1126.588235
2003,NM,847.5853659,1183.439024
2003,AR,429.7666667,607.2166667
2003,TN,412.3414634,548.699187
2003,CA,478.5352697,600.026971
2003,MN,314.1454545,393.9909091
2003,CO,676.0238095,794.9404762
2003,CT,285.265625,343.578125
2003,NY,333.7,439.49375
2003,DE,220.1538462,367.3846154
2003,DC,328,502.8
2003,VA,492.3333333,642.9047619
2003,FL,554.3127572,744.7366255
2003,MI,620.1037037,963.9259259
2003,GA,455.3103448,623.2137931
2003,HI,806.1,1068.7
2003,ID,771.3333333,967.5416667
2003,IL,369.0271739,446.0652174
2003,IN,459.2190476,636.9238095
2003,IA,291.9402985,361.6268657
2003,KS,382.9210526,484.4078947
2003,MO,492.4253731,607.9552239
2003,KY,209.5061728,335.2839506
2003,LA,299.0458716,470.9357798
2003,ME,131.4411765,211.9117647
2003,MD,474.3055556,681.5138889
2003,MA,382.6940299,505.2985075
2003,MS,281.6530612,476.7346939
2003,MT,222.6956522,280.7826087
2003,NE,263.0789474,311.6842105
2003,NV,1184.380952,1319.571429
2003,NH,224.8965517,332.6551724
2003,NJ,412.5175439,479.7807018
2003,NC,323.3533835,474.7218045
2003,ND,244.5,255.05
2003,OH,642.5450644,837.8798283
2003,WV,167.5178571,219.9821429
2003,OK,406.7522936,549.0458716
2003,OR,598.1029412,689.6323529
2003,PA,789.1242038,836.1369427
2003,RI,410.9444444,477.0555556
2003,SC,247.359375,391.15625
2003,SD,266.56,298.96
2003,TX,433.3333333,589.3431373
2003,UT,817.7027027,933.2702703
2003,VT,140.7307692,184.4230769
2003,WI,472.1666667,637.2424242
2003,WY,300.8,281
2003,AS,159,217
2003,GU,119.6666667,225.3333333
2003,MP,70,88
2003,PR,815.0084746,1224.881356
2003,FM,570,537
2003,PW,201,288
2003,VI,90,338
2003,MH,452,304
2004,AL,307.7702703,538.5540541
2004,AK,208.375,346.125
2004,WA,722.3235294,948.5
2004,AZ,1013.255814,1266.011628
2004,NM,771.7954545,1109.340909
2004,AR,464.7321429,684.375
2004,TN,452.544,641.608
2004,CA,529.5810526,696.9431579
2004,CO,752.8765432,932.0123457
2004,CT,238.1492537,331.4776119
2004,NY,350.7532895,481.4934211
2004,DE,195.7142857,360.8571429
2004,DC,464.5333333,736.2
2004,VA,552.8852459,747.6065574
2004,FL,584.2839506,837.0823045
2004,MI,699.7251908,1204.389313
2004,GA,496.3165468,737.1942446
2004,HI,854.952381,1190.619048
2004,ID,1091.894737,1433.421053
2004,IL,413.7068966,523.3045977
2004,IN,486.6138614,727.7425743
2004,IA,342.3,433.8
2004,KS,398.3797468,524.9620253
2004,MO,538.7089552,717.5895522
2004,KY,403.9871795,618.2948718
2004,LA,347.754902,572.6176471
2004,ME,119.7777778,202.3888889
2004,MD,542.75,838.75
2004,MA,406.4253731,559.0671642
