YEAR,STATE,TUITION_IN,TUITION_OUT
1996,AL,,
1996,IL,,
1996,AK,,
1996,WA,,
1996,AZ,,
1996,NM,,
1996,AR,,
1996,TN,,
1996,CA,,
1996,LA,,
1996,CO,,
1996,MN,,
1996,NY,,
1996,CT,,
1996,DE,,
1996,DC,,
1996,VA,,
1996,FL,,
1996,GA,,
1996,MI,,
1996,HI,,
1996,ID,,
1996,IN,,
1996,IA,,
1996,KS,,
1996,MO,,
1996,KY,,
1996,ME,,
1996,MD,,
1996,MA,,
1996,MS,,
1996,MT,,
1996,NE,,
1996,NV,,
1996,NH,,
1996,NJ,,
1996,NC,,
1996,ND,,
1996,OH,,
1996,WV,,
1996,OK,,
1996,OR,,
1996,PA,,
1996,RI,,
1996,SC,,
1996,SD,,
1996,TX,,
1996,UT,,
1996,VT,,
1996,WI,,
1996,WY,,
1996,AS,,
1996,GU,,
1996,MP,,
1996,PR,,
1996,FM,,
1996,PW,,
1996,VI,,
1996,MH,,
1997,AL,,
1997,IL,,
1997,AK,,
1997,WA,,
1997,AZ,,
1997,NM,,
1997,AR,,
1997,TN,,
1997,CA,,
1997,CO,,
1997,MN,,
1997,NY,,
1997,CT,,
1997,DE,,
1997,DC,,
1997,VA,,
1997,FL,,
1997,GA,,
1997,MI,,
1997,HI,,
1997,ID,,
1997,IN,,
1997,IA,,
1997,KS,,
1997,MO,,
1997,KY,,
1997,LA,,
1997,ME,,
1997,MD,,
1997,MA,,
1997,MS,,
1997,MT,,
1997,NE,,
1997,NV,,
1997,NH,,
1997,NJ,,
1997,NC,,
1997,ND,,
1997,OH,,
1997,WV,,
1997,OK,,
1997,OR,,
1997,PA,,
1997,RI,,
1997,SC,,
1997,SD,,
1997,TX,,
1997,UT,,
1997,VT,,
1997,WI,,
1997,WY,,
1997,AS,,
1997,GU,,
1997,MP,,
1997,PR,,
1997,FM,,
1997,PW,,
1997,VI,,
1997,MH,,
1998,AL,,
1998,IL,,
1998,AK,,
1998,WA,,
1998,AZ,,
1998,NM,,
1998,AR,,
1998,TN,,
1998,CA,,
1998,CO,,
1998,MN,,
1998,NY,,
1998,CT,,
1998,DE,,
1998,DC,,
1998,VA,,
1998,FL,,
1998,GA,,
1998,MI,,
1998,HI,,
1998,ID,,
1998,IN,,
1998,IA,,
1998,KS,,
1998,MO,,
1998,KY,,
1998,LA,,
1998,ME,,
1998,MD,,
1998,MA,,
1998,MS,,
1998,MT,,
1998,NE,,
1998,NV,,
1998,NH,,
1998,NJ,,
1998,NC,,
1998,ND,,
1998,OH,,
1998,WV,,
1998,OK,,
1998,OR,,
1998,PA,,
1998,RI,,
1998,SC,,
1998,SD,,
1998,TX,,
1998,UT,,
1998,VT,,
1998,WI,,
1998,WY,,
1998,AS,,
1998,GU,,
1998,MP,,
1998,PR,,
1998,FM,,
1998,PW,,
1998,VI,,
1998,MH,,
1999,AL,,
1999,IL,,
1999,AK,,
1999,WA,,
1999,AZ,,
1999,NM,,
1999,AR,,
1999,TN,,
1999,CA,,
1999,MN,,
1999,NY,,
1999,CO,,
1999,CT,,
1999,DE,,
1999,DC,,
1999,VA,,
1999,FL,,
1999,GA,,
1999,MI,,
1999,HI,,
1999,ID,,
1999,IN,,
1999,IA,,
1999,KS,,
1999,MO,,
1999,KY,,
1999,LA,,
1999,ME,,
1999,MD,,
1999,MA,,
1999,MS,,
1999,MT,,
1999,NE,,
1999,NV,,
1999,NH,,
1999,NJ,,
1999,NC,,
1999,ND,,
1999,OH,,
1999,WV,,
1999,OK,,
1999,OR,,
1999,PA,,
1999,RI,,
1999,SC,,
1999,SD,,
1999,TX,,
1999,UT,,
1999,VT,,
1999,WI,,
1999,WY,,
1999,AS,,
1999,GU,,
1999,MP,,
1999,PR,,
1999,FM,,
1999,PW,,
1999,VI,,
1999,MH,,
2000,AL,4051.323529,5407.926471
2000,IL,7712.561538,10050.51538
2000,AK,4289.375,6620.5
2000,WA,5801.983333,8324.583333
2000,AZ,4566.473684,6906.421053
2000,NM,3090.866667,4955.966667
2000,AR,3625.978261,4793.630435
2000,TN,6981.061538,8628.246154
2000,CA,6851.569106,9138.288618
2000,MN,6783.955056,8249.775281
2000,NY,8863.159664,9885.210084
2000,CO,5876,9068.384615
2000,CT,9407.794872,11764.76923
2000,DE,6014.8,7975.8
2000,DC,13057.84615,13260.92308
2000,VA,7276.5,9588.525
2000,FL,6157.570248,8109.454545
2000,GA,4499.990826,6112.954128
2000,MI,6624.168539,7819.730337
2000,HI,3633.333333,6668.533333
2000,ID,5498,7925.818182
2000,IN,8757.675325,9696.948052
2000,IA,8994.280702,9640.54386
2000,KS,5485.086957,6861.695652
2000,MO,6752.3,7705.344444
2000,KY,4378.342857,5570.585714
2000,LA,2813.716216,4062.405405
2000,ME,8446.111111,10019.37037
2000,MD,8281.740741,10253.53704
2000,MA,11907.14737,13762.70526
2000,MS,3502.057143,4970.542857
2000,MT,3339.75,5881.916667
2000,NE,6445.875,7106.90625
2000,NV,4142.222222,7537.777778
2000,NH,10607.63636,12668
2000,NJ,7388.796875,9003.53125
2000,NC,4578.530973,7875.265487
2000,ND,3183.888889,4942.611111
2000,OH,8218.363636,9838.564935
2000,WV,5910.28125,7409.96875
2000,OK,3290.391304,4606.086957
2000,OR,8033.5,10121.77273
2000,PA,9713.031818,11016.75
2000,RI,12399.83333,13788.83333
2000,SC,5508.176471,7491.882353
2000,SD,5064.578947,6368.263158
2000,TX,5029.5,6758.358974
2000,UT,4944.789474,7189.157895
2000,VT,12947.44444,14981.11111
2000,WI,7955.127273,12724.01818
2000,WY,1620.125,4220.875
2000,AS,,
2000,GU,1975,4515
2000,MP,2040,3625
2000,PR,3088.660377,3171.716981
2000,FM,2460,2460
2000,PW,,
2000,VI,2730,8190
2000,MH,2280,2520
2001,AL,4626.084507,6068.169014
2001,IL,8464.623377,10432.95455
2001,AK,4432,6721.375
2001,WA,6572.587302,9203.15873
2001,AZ,5583.311111,7986.066667
2001,NM,3169.882353,4917.882353
2001,AR,3632.403846,4868.942308
2001,TN,7949.253333,9518.16
2001,CA,7122.423208,9245.56314
2001,MN,7906.635417,9193.458333
2001,CO,6568.033898,9634.525424
2001,CT,10312.97872,12582.51064
2001,NY,9671.959044,10441.44027
2001,DE,6340.1,8389.3
2001,DC,13179.92857,13368.5
2001,VA,7446.495146,9537.398058
2001,FL,7431.147929,9065.494048
2001,GA,5231,6866.919355
2001,MI,7022.528302,8306.320755
2001,HI,3596.5625,6442.0625
2001,ID,6081.545455,8451.083333
2001,IN,8630.01087,9900.836957
2001,IA,9557.129032,10176.17742
2001,KS,6017.862069,7326.603448
2001,MO,6966.738318,7734.074074
2001,KY,5451.763158,7096.736842
2001,LA,3477.987654,4756.382716
2001,ME,8562.241379,10676.82759
2001,MD,8600.125,10648.26786
2001,MA,13213.41121,15000.68224
2001,MS,3753.2,5449.95
2001,MT,3358.423077,5928.230769
2001,NE,7223.5,7830.815789
2001,NV,5403.6,8562.6
2001,NH,11439.52,13432.48
2001,NJ,7518.013889,9099.323944
2001,NC,5380.178862,8495.96748
2001,ND,3581.421053,5571.947368
2001,OH,8162.828877,9648.365591
2001,WV,5948.159091,7186.659091
2001,OK,4235.97619,5726.714286
2001,OR,8391.354167,10348.79167
2001,PA,10304.98062,11531.4186
2001,RI,14060.61538,15398.15385
2001,SC,6514.266667,8492.416667
2001,SD,5877.4,6888
2001,TX,5558.454023,7103.784091
2001,UT,5388.045455,7450.181818
2001,VT,13492.04348,15149.08696
2001,WI,8017.650794,13179.4127
2001,WY,1686.875,4428.875
2001,AS,1060,1460
2001,GU,2072,4836
2001,MP,2065,3625
2001,PR,3669.558442,3745.831169
2001,FM,2457.5,2457.5
2001,PW,,
2001,VI,5133.333333,10193.33333
2001,MH,2280,2520
2002,AL,5021.905405,6548.986486
2002,IL,9010.967105,11101.54605
2002,AK,4829.285714,7749.285714
2002,WA,7043.381579,9337.263158
2002,AZ,6162.96,8580.84
2002,NM,3722.486486,5422.189189
2002,AR,3794.326923,5173.442308
2002,TN,8234.246753,9880.948052
2002,CA,7830.820339,10103.84746
2002,MN,8262.873786,9624.359223
2002,CO,7079.25,10064.96875
2002,CT,10986.75,13332.25
2002,NY,10086.13816,10908.46711
2002,DE,6164.777778,8584.555556
2002,DC,14452.38462,14655.46154
2002,VA,8114.475728,10396.93204
2002,FL,7990.512195,9769.560976
2002,GA,5515.991935,7225.08871
2002,MI,7573.327273,8902.309091
2002,HI,4841.411765,7514.235294
2002,ID,6101.307692,8804.230769
2002,IN,9186.142857,10602.56044
2002,IA,9920.666667,10607.26984
2002,KS,5965.283333,7327.2
2002,MO,7558.115044,8434.336283
2002,KY,6015.929577,7904.661972
2002,LA,3794.204819,5056.662651
2002,ME,8086.290323,10123.64516
2002,MD,9048.473684,11171.26316
2002,MA,13828.00893,15553.04464
2002,MS,4042.394737,5837.131579
2002,MT,3889.125,6763.541667
2002,NE,7597.846154,8291.128205
2002,NV,7476.384615,10032.15385
2002,NH,11774.96,13840.4
2002,NJ,8567.567568,10065.14865
2002,NC,5778.409836,9296.229508
2002,ND,3845.45,5722.55
2002,OH,8515.110553,10027.75879
2002,WV,6141.454545,7582.931818
2002,OK,4536.333333,5912.058824
2002,OR,8890.387755,10917.95918
2002,PA,11000.96552,12275.25287
2002,RI,14738.07143,16070.07143
2002,SC,7027.983871,9098.419355
2002,SD,5722.407407,6698.185185
2002,TX,5922.979058,7438.942408
2002,UT,5456.4,7373.28
2002,VT,13882.95652,15628.95652
2002,WI,8390.03125,13984.3125
2002,WY,1768.375,4618.125
2002,AS,1060,1460
2002,GU,2188.666667,4190
2002,MP,2015,3625
2002,PR,4102.2,4173.422222
2002,FM,2700,2700
2002,PW,5237,5237
2002,VI,2730,8190
2002,MH,2280,2520
2003,AL,5441.756757,7153.756757
2003,IL,9459.231788,11540.13245
2003,AK,5194,8363.714286
2003,WA,7492.302632,9679.092105
2003,AZ,6414.76,8901.64
2003,NM,4049.447368,5851.026316
2003,AR,4700.333333,6320.541667
2003,TN,8770.256098,10488.37805
2003,CA,8390.006757,10799.64189
2003,MN,8877.68932,10284.81553
2003,CO,7424.328125,10717.96875
2003,CT,11890.23529,14354.09804
2003,NY,10621.86943,11544.28981
2003,DE,7039.5,9278.9
2003,DC,15082.46154,15285.53846
2003,VA,9340.673267,11847.65347
2003,FL,8510.931034,10490.47701
2003,GA,5918.81746,7775
2003,MI,7763.657658,9224.747748
2003,HI,5261.875,8083.375
2003,ID,6031.615385,8921.461538
2003,IN,9783.914894,11238.88298
2003,IA,10349.15152,11049.93939
2003,KS,6446.209677,7939.790323
2003,MO,7970.983051,8888.855932
2003,KY,6660.808219,8910.753425
2003,LA,4266.461538,5487.054945
2003,ME,8520.758621,10815.65517
2003,MD,9600.755102,12298.83673
2003,MA,14545.25217,16361.87826
2003,MS,4224.473684,6145.736842
2003,MT,4236.958333,7701.208333
2003,NE,8256.925,9037.3
2003,NV,7395.307692,10413.69231
2003,NH,12525.56,14743.2
2003,NJ,9335.55,10804.075
2003,NC,6203.725806,9803.282258
2003,ND,4174.15,6166
2003,OH,9146.052381,10694.64762
2003,WV,6116,7667.297872
2003,OK,4795.803571,6397.160714
2003,OR,9583.803922,11705.21569
2003,PA,11749.81716,13003.26119
2003,RI,15187.73333,16517.86667
2003,SC,7682.66129,10029.41935
2003,SD,6250.703704,7282.703704
2003,TX,6531.585859,8154.272727
2003,UT,5754.461538,7982.730769
2003,VT,14140.54167,15901.95833
2003,WI,8845.507692,14252.03077
2003,WY,1814.75,4441.75
2003,AS,1060,1460
2003,GU,2188.666667,4510
2003,MP,2060,3645
2003,PR,4403.07,4533.92
2003,FM,2700,2700
2003,PW,4488,4488
2003,VI,2730,8190
2003,MH,2280,2520
2004,AL,5962.277778,7904.637681
2004,IL,10079.74342,12353.01974
2004,AK,6123.285714,9093.285714
2004,WA,7927.894737,10039.98684
2004,AZ,7110.596154,9526.673077
2004,NM,4503.282051,6445.846154
2004,AR,5200.333333,6938.625
2004,TN,9464.337209,11242.19767
2004,CA,9291.811502,11858.40065
2004,MN,9670.614679,11233.5
2004,CO,7918.181818,11095.95455
2004,CT,12334.625,14309.54717
2004,NY,11133.48185,12139.89769
2004,DE,7802.545455,9953.363636
2004,DC,15869.57143,16058.14286
2004,VA,9917.981132,12347.23585
2004,FL,9198.934132,11107.79114
2004,GA,6442.223077,8305.323077
2004,MI,8206.891892,9785.4
2004,HI,5446.352941,8082.117647
2004,ID,6407.230769,9482.769231
2004,IN,10334.13542,11847.03125
